suite,experiment_id,scenario_id,backend,label,success_rate,collision_rate,min_clearance_mean,path_length_mean,completion_time_mean,mean_solve_time_ms,solver_failure_rate,summary_path
exp_e0,E0,point_mass_2d_dynamic_obstacle_v1,,smoke,1.0,0.0,-0.2072176443334084,4.812504184184317,4.299999999999999,0.008067194518611528,0.0,results/exp_e0/summary.json
exp_e2,E2,point_mass_2d_dynamic_obstacle_v1,,ed,0.9,0.0,0.04903104223707459,5.14184598345896,5.000000000000001,1.7717333918577567,0.004772727272727273,results/exp_e2/summary.json
exp_e3,E3,point_mass_2d_dynamic_obstacle_v1,,gamma=1.0,0.9,0.0,0.050514783166576094,5.148528646289369,4.970000000000001,1.8187610078546126,0.0,results/exp_e3/summary.json
exp_e3,E3,point_mass_2d_dynamic_obstacle_v1,,gamma=0.15,0.9,0.0,0.48452972038140685,5.374462406010131,4.8500000000000005,1.8176512201223214,0.01888150609080843,results/exp_e3/summary.json
exp_e3,E3,point_mass_2d_dynamic_obstacle_v1,,gamma=0.08,0.9,0.0,0.8115787538707988,5.779138805506188,5.26,1.8133078618382288,0.03601092100739852,results/exp_e3/summary.json
exp_e3,E3,point_mass_2d_dynamic_obstacle_v1,,gamma=0.04,0.9,0.0,1.044548111588633,6.4753336417475085,6.83,1.8209661611834171,0.2945811634947938,results/exp_e3/summary.json
exp_e3,E3,point_mass_2d_dynamic_obstacle_v1,,gamma=0.02,0.9,0.0,1.1393029027908335,6.747254948454687,7.409999999999999,1.8189152527853707,0.31438804949025545,results/exp_e3/summary.json
exp_e4,E4,point_mass_2d_dynamic_obstacle_v1,,ED,0.9,0.0,0.04903104223707459,5.14184598345896,5.000000000000001,1.7793388722688455,0.004772727272727273,results/exp_e4/summary.json
exp_e4,E4,point_mass_2d_dynamic_obstacle_v1,,CBF gamma=0.08,0.9,0.0,0.8115787538707988,5.779138805506188,5.26,1.826277931275225,0.03601092100739852,results/exp_e4/summary.json
extended/backend_comparison/casadi,E4,point_mass_2d_dynamic_obstacle_v1,casadi,ED,0.2,0.8,7.4143003847559895e-09,3.0679486929613,2.54,8.831991467042554,0.0,results/extended/backend_comparison/casadi/summary.json
extended/backend_comparison/casadi,E4,point_mass_2d_dynamic_obstacle_v1,casadi,CBF gamma=0.08,1.0,0.0,0.6322660766689115,5.306174091351178,4.16,5.975403736809779,0.0,results/extended/backend_comparison/casadi/summary.json
extended/backend_comparison/random_shooting,E4,point_mass_2d_dynamic_obstacle_v1,random_shooting,ED,0.8,0.0,0.05005401306679953,5.366070343350218,5.819999999999999,1.8222392639569562,0.0,results/extended/backend_comparison/random_shooting/summary.json
extended/backend_comparison/random_shooting,E4,point_mass_2d_dynamic_obstacle_v1,random_shooting,CBF gamma=0.08,1.0,0.0,0.8487057349902825,5.568854389608662,4.8,1.8533813637785432,0.032845967221126496,results/extended/backend_comparison/random_shooting/summary.json
extended/horizon_gamma/horizon_12,E3,horizon_12,random_shooting,gamma=0.15,1.0,0.0,0.46034150195036794,5.113124819087231,4.125,1.176484896562497,0.0156808943089431,results/extended/horizon_gamma/horizon_12/summary.json
extended/horizon_gamma/horizon_12,E3,horizon_12,random_shooting,gamma=0.08,1.0,0.0,0.774580042699679,5.455958586925456,4.334999999999999,1.1578677658665772,0.016148192892378937,results/extended/horizon_gamma/horizon_12/summary.json
extended/horizon_gamma/horizon_12,E3,horizon_12,random_shooting,gamma=0.04,1.0,0.0,1.0044921651805951,5.682600875452879,4.495,1.1557104732827526,0.3949659639877031,results/extended/horizon_gamma/horizon_12/summary.json
